"Município;""0 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Total"""
231110 Porteiras;1529;1381;1281;1268;2508;2337;1533;1331;899;684;259;15010
231120 Potengi;1244;1149;1046;906;1688;1453;1127;943;602;455;176;10789
231123 Potiretama;398;547;658;509;1134;988;752;576;429;225;100;6316
231126 Quiterianópolis;1643;1753;1830;2018;3037;3101;2614;2023;1335;916;422;20692
231130 Quixadá;7763;7689;7483;8413;15751;11931;9568;7376;4923;2955;1503;85355
231135 Quixelô;1064;1132;1271;1190;2081;2350;1898;1678;1283;671;331;14949
231140 Quixeramobim;6281;7020;6870;7225;14429;10555;8664;7058;4674;2947;1460;77183
231150 Quixeré;1678;2021;1915;1887;4305;3343;2555;1802;1250;487;328;21571
231160 Redenção;2635;2178;2443;2741;4349;3978;3160;2532;1622;1083;554;27275
231170 Reriutaba;1399;1678;1957;1845;2820;2530;2068;1778;1423;1003;516;19017
231180 Russas;5440;6012;6577;6834;14150;12743;9277;6569;4302;1890;1231;75025
231190 Saboeiro;1485;1375;1467;1403;2447;2049;1771;1573;1205;667;310;15752
231195 Salitre;1372;1797;2045;1626;2781;2233;1628;1145;789;527;218;16161
231220 Santa Quitéria;3113;3960;4070;4060;7271;6126;5132;4029;2886;1794;920;43361
231200 Santana do Acaraú;2913;2848;3330;3235;5637;4731;3333;2323;1707;1063;480;31600
231210 Santana do Cariri;1702;1637;1942;1762;2883;2407;1740;1353;1033;690;322;17471
231230 São Benedito;4535;4420;4414;4628;7202;6877;4930;3961;2764;1618;829;46178
231240 São Gonçalo do Amarante;4098;3934;4302;4774;8696;7829;5592;3710;2440;1324;602;47301
231250 São João do Jaguaribe;374;392;628;641;1050;1189;1090;948;743;418;245;7718
231260 São Luís do Curu;1061;1015;1097;1159;2244;1893;1568;1163;805;497;259;12761
231270 Senador Pompeu;2063;2130;2197;2378;4262;3704;3197;2782;1908;1301;630;26552
231280 Senador Sá;699;683;795;747;1301;1079;711;578;440;232;103;7368
231290 Sobral;15296;15428;19562;18715;43059;33108;23866;15760;9493;5132;2351;201770
231300 Solonópole;1190;1497;1506;1642;2771;2534;2197;1983;1431;940;407;18098
231310 Tabuleiro do Norte;1977;2101;2684;2651;5098;4662;4373;3001;2061;1083;573;30264
231320 Tamboril;2150;2292;2292;2442;4039;3415;2927;2346;1814;1235;651;25603
231325 Tarrafas;567;853;793;925;1444;1165;1021;924;613;431;165;8901
231330 Tauá;3582;4958;5783;5106;9206;8503;6843;5885;4052;2552;1238;57708
231335 Tejuçuoca;1622;1722;2044;1693;3516;2822;1865;1397;977;549;309;18516
231340 Tianguá;6719;7176;7110;7647;13477;11367;7772;5847;3467;2026;868;73476
231350 Trairi;5226;4821;5255;5815;9440;8278;5846;4217;2809;1830;885;54422
231355 Tururu;1294;1357;1362;1537;2988;2218;1820;1309;881;572;259;15597
231360 Ubajara;3039;3498;3144;3118;5761;5389;3497;2846;1794;1187;523;33796
231370 Umari;455;741;777;588;1024;1251;880;784;572;425;167;7664
231375 Umirim;1818;1719;2005;2060;3718;2656;2083;1447;1083;609;328;19526
231380 Uruburetama;1644;1953;2124;2216;4055;3289;2330;1608;1029;659;301;21208
231390 Uruoca;1209;1128;1299;1576;2295;2087;1513;974;779;460;197;13517
231395 Varjota;1158;1551;1864;1981;2869;2532;2148;1521;1223;874;416;18137
231400 Várzea Alegre;2830;3606;3439;3352;6401;5895;4664;4014;2960;2068;836;40065
231410 Viçosa do Ceará;4963;5734;6008;6966;10628;8502;6119;4348;2900;1937;822;58927
240010 Acari;773;810;872;872;1709;1882;1416;1216;905;575;312;11342
240020 Açu;4335;4718;5552;4648;10039;9398;7528;5445;3070;1630;929;57292
240030 Afonso Bezerra;869;1143;1222;895;1968;1434;1314;1050;597;468;241;11201
240040 Água Nova;179;222;320;278;651;493;437;276;211;94;48;3209
240050 Alexandria;1232;1076;1109;1163;1808;2208;1651;1407;1103;701;396;13854
240060 Almino Afonso;383;407;371;362;826;724;643;490;348;223;120;4897
240070 Alto do Rodrigues;1156;1301;1295;1017;2454;2448;1863;1232;628;339;184;13917
240080 Angicos;579;1083;1125;762;2163;1799;1463;1303;762;557;309;11905
240090 Antônio Martins;360;651;664;605;897;1301;853;802;550;353;167;7203
240100 Apodi;2413;2524;2706;3002;6455;5937;4910;4011;2128;1414;689;36189
240110 Areia Branca;2090;2130;2473;2411;4316;4366;3575;2966;1573;997;461;27358
240120 Arês;1188;1290;1283;1354;2527;2099;1737;1260;641;464;200;14043
240130 Augusto Severo;592;873;867;891;1613;1532;1139;942;622;453;193;9717
240140 Baía Formosa;875;806;956;808;1487;1422;1155;823;470;296;85;9183
240145 Baraúna;2463;2686;2990;2523;4699;4406;3246;2002;1307;599;314;27235
240150 Barcelona;207;308;374;393;602;583;535;412;300;223;124;4061
240160 Bento Fernandes;189;491;649;597;997;834;601;465;344;198;95;5460
240165 Bodó;140;230;273;137;455;378;314;190;122;76;44;2359
240170 Bom Jesus;786;904;970;1041;1632;1458;1197;874;628;402;220;10112
240180 Brejinho;855;1165;1251;1147;2195;1948;1398;1086;751;495;219;12510
240185 Caiçara do Norte;551;718;652;554;1064;1087;745;557;333;218;110;6589
240190 Caiçara do Rio do Vento;230;295;317;310;694;565;414;358;220;133;70;3606
240200 Caicó;3970;4758;5824;5031;10970;11704;9249;7392;4395;2597;1370;67260
240210 Campo Redondo;876;906;937;1059;1771;1600;1459;933;707;555;266;11069
240220 Canguaretama;2937;3125;3630;3508;6431;4828;3834;2627;1360;923;421;33624
240230 Caraúbas;1427;1658;1815;1555;3411;3069;2704;2107;1369;962;488;20565
240240 Carnaúba dos Dantas;721;643;583;734;1248;1387;1025;759;497;282;167;8046
240250 Carnaubais;823;971;1060;856;1840;1755;1324;1099;527;288;220;10763
240260 Ceará-Mirim;6880;6607;6986;7168;12817;11463;8402;5653;3701;2138;1066;72881
240270 Cerro Corá;892;1011;1168;789;1959;1607;1342;997;750;513;293;11321
240280 Coronel Ezequiel;433;426;591;462;994;775;679;414;387;272;156;5589
240290 Coronel João Pessoa;281;410;584;533;806;658;574;484;316;212;103;4961
240300 Cruzeta;628;548;606;584;1281;1247;1161;904;626;353;228;8166
240310 Currais Novos;3094;3121;3733;3897;6873;7448;5853;4628;3160;2037;1041;44885
240320 Doutor Severiano;501;639;651;583;1131;1167;781;710;539;309;172;7183
240330 Encanto;377;483;521;421;937;793;714;559;403;260;123;5591
240340 Equador;529;572;533;516;1015;941;700;507;388;246;141;6088
240350 Espírito Santo;884;898;1011;1130;1758;1587;1267;936;590;430;238;10729
240360 Extremoz;2454;2507;2666;2701;4864;4015;3499;2374;1406;727;311;27524
240370 Felipe Guerra;462;427;458;421;1007;832;956;573;461;286;127;6010
240375 Fernando Pedroza;243;247;251;166;589;452;348;313;199;161;70;3039
240380 Florânia;787;724;628;668;1523;1492;1127;919;711;440;236;9255
240390 Francisco Dantas;168;232;219;226;458;475;376;329;203;148;73;2907
240400 Frutuoso Gomes;413;345;268;289;671;627;555;435;304;219;104;4230
240410 Galinhos;145;272;260;248;527;417;304;228;101;61;23;2586
240420 Goianinha;2072;2480;2568;2510;4445;4303;2743;2049;1144;726;257;25297
240430 Governador Dix-Sept Rosado;926;1047;1074;1213;2369;1815;1804;1237;876;461;225;13047
240440 Grossos;621;772;905;812;1961;1495;1447;1107;593;323;159;10195
240450 Guamaré;1355;1437;1398;1454;2811;2349;1821;1057;519;293;140;14634
240460 Ielmo Marinho;924;1326;1403;1388;2243;2036;1701;975;775;434;195;13400
240470 Ipanguaçu;1110;1673;1641;1150;2584;2698;1681;1208;771;359;271;15146
240480 Ipueira;78;201;219;145;348;341;302;230;192;106;58;2220
240485 Itajá;568;740;788;582;1326;1326;883;543;384;240;80;7460
240490 Itaú;451;460;417;489;953;770;811;704;439;274;107;5875
240500 Jaçanã;609;774;819;788;1566;1238;1135;706;575;399;218;8827
240510 Jandaíra;508;703;752;675;1163;1128;707;557;347;212;148;6900
240520 Janduís;405;530;480;402;763;900;600;550;367;292;129;5418
240530 Januário Cicco;659;978;965;980;1739;1412;1172;760;635;381;196;9877
240540 Japi;403;434;597;495;932;771;606;479;327;195;127;5366
240550 Jardim de Angicos;262;218;245;237;438;345;310;248;176;126;60;2665
240560 Jardim de Piranhas;1025;1151;1282;1143;2568;2476;1863;1472;818;537;274;14609
240570 Jardim do Seridó;549;698;910;920;1885;1957;1697;1674;1189;674;399;12552
240580 João Câmara;2938;3118;3627;3372;6353;5155;3866;2537;1859;1168;592;34585
240590 João Dias;178;296;208;216;542;369;304;243;140;135;62;2693
240600 José da Penha;268;439;643;471;859;921;818;643;447;386;154;6049
240610 Jucurutu;1170;1445;1551;1350;2882;3208;2373;1933;1235;828;473;18448
240615 Jundiá;156;288;374;338;640;682;477;324;256;243;75;3853
240620 Lagoa d'Anta;467;596;690;682;1256;967;735;576;353;257;111;6690
240630 Lagoa de Pedras;533;702;770;848;1182;1072;892;560;423;336;160;7478
240640 Lagoa de Velhos;206;264;243;253;519;371;287;269;155;151;53;2771
240650 Lagoa Nova;1292;1387;1562;1169;2935;2250;1705;1330;851;530;262;15273
240660 Lagoa Salgada;753;840;709;798;1485;1144;934;615;433;282;150;8143
240670 Lajes;790;922;980;860;1935;1683;1341;1119;791;484;246;11151
240680 Lajes Pintadas;215;395;463;378;888;704;595;442;360;236;121;4797
240690 Lucrécia;301;353;320;331;636;609;521;341;276;149;97;3934
240700 Luís Gomes;1089;965;870;810;1618;1404;1182;900;670;418;202;10128
240710 Macaíba;6526;6740;7195;7433;14210;12575;10016;6483;3671;2196;980;78025
240720 Macau;2230;2607;2748;2665;5021;4976;4358;3553;1594;1058;503;31313
240725 Major Sales;403;369;339;314;528;593;428;379;299;168;83;3903
240730 Marcelino Vieira;571;823;757;614;1373;1233;931;975;662;366;188;8493
240740 Martins;745;783;657;681;1210;1398;992;823;735;426;259;8709
240750 Maxaranguape;1222;1205;1140;1235;1951;1811;1358;886;606;313;102;11829
240760 Messias Targino;344;401;436;448;658;712;599;412;286;164;67;4527
240770 Montanhas;918;1008;1210;1173;1871;1727;1284;956;615;584;225;11571
240780 Monte Alegre;1570;2013;2107;2216;4067;3265;2570;1910;1212;870;353;22153
240790 Monte das Gameleiras;245;137;189;191;408;327;274;169;121;126;31;2218
240800 Mossoró;23431;24123;23197;21958;52845;49912;37988;28028;15189;7723;3768;288162
240810 Natal;60668;61905;68445;70569;155152;151697;112951;93623;54785;26970;13188;869953
240820 Nísia Floresta;2228;2357;2566;2737;4747;4137;3412;2108;1323;703;289;26607
240830 Nova Cruz;2885;3250;3491;3627;6408;5616;4579;3057;2177;1600;706;37396
240840 Olho-d'Água do Borges;206;271;425;327;666;606;600;477;389;276;126;4369
240850 Ouro Branco;294;367;425;306;730;674;670;550;416;274;168;4874
240860 Paraná;395;389;361;301;605;686;437;454;317;188;92;4225
240870 Paraú;274;350;321;336;614;570;503;438;206;177;98;3887
240880 Parazinho;351;546;680;481;918;713;527;393;285;175;104;5173
240890 Parelhas;1855;1612;1924;1323;3838;3295;2628;2141;1378;910;581;21485
240325 Parnamirim;17759;18129;19765;20562;46336;44344;34004;23913;11379;4321;1873;242385
240910 Passa e Fica;1034;955;1027;1125;2380;2047;1594;974;750;513;258;12657
240920 Passagem;232;230;280;351;471;508;391;231;190;119;70;3073
240930 Patu;1052;1099;1071;1079;1898;1999;1694;1156;832;558;269;12707
240940 Pau dos Ferros;1820;2452;2489;2432;5207;4901;4013;2958;1882;1245;554;29953
240950 Pedra Grande;269;304;352;339;660;549;396;210;203;94;54;3430
240960 Pedra Preta;232;205;230;246;463;334;266;262;170;100;61;2569
240970 Pedro Avelino;615;554;736;559;1174;966;736;705;469;337;207;7058
240980 Pedro Velho;1385;1424;1363;1449;2519;2231;1564;1212;795;596;306;14844
240990 Pendências;1164;1261;1298;1230;2547;2386;1961;1387;757;477;283;14751
241000 Pilões;320;331;258;306;527;684;428;375;280;161;89;3759
241010 Poço Branco;1052;1499;1570;1515;2834;2435;1611;1095;793;482;252;15138
241020 Portalegre;685;690;600;573;1275;1062;936;928;474;371;218;7812
241025 Porto do Mangue;482;531;588;626;1025;945;748;464;284;119;70;5882
241040 Pureza;753;879;1056;1009;1604;1189;1176;674;520;325;145;9330
241050 Rafael Fernandes;260;486;471;336;839;756;710;510;337;243;92;5040
241060 Rafael Godeiro;196;300;302;268;392;437;511;321;246;167;75;3215
241070 Riacho da Cruz;278;421;241;281;639;488;454;287;186;147;62;3484
241080 Riacho de Santana;235;437;406;302;615;677;502;446;288;270;99;4277
241090 Riachuelo;414;673;869;866;1367;1180;906;683;453;301;147;7859
240895 Rio do Fogo;1110;1012;1301;1140;1632;1732;1221;685;488;323;114;10758
241100 Rodolfo Fernandes;315;384;418;455;665;631;634;446;313;192;99;4552
241110 Ruy Barbosa;169;327;332;407;607;546;445;339;246;184;71;3673
241120 Santa Cruz;3299;3067;3576;3607;7296;6003;4467;3230;2270;1356;755;38926
240933 Santa Maria;357;589;570;472;950;787;584;409;326;210;86;5340
241140 Santana do Matos;998;1111;1119;860;2275;2069;1685;1432;982;676;400;13607
241142 Santana do Seridó;186;249;179;188;465;422;345;271;189;116;65;2675
241150 Santo Antônio;1878;2100;2077;2337;4123;3725;2855;1856;1488;1001;427;23867
241160 São Bento do Norte;162;309;310;237;498;417;335;248;205;132;50;2903
241170 São Bento do Trairí;435;397;403;399;801;614;429;380;212;172;75;4317
241180 São Fernando;221;257;279;298;603;495;541;391;286;156;59;3586
241190 São Francisco do Oeste;240;347;331;357;690;663;565;452;303;150;79;4177
241200 São Gonçalo do Amarante;8452;7914;9212;9684;18122;16649;12642;8221;4411;2015;936;98258
241210 São João do Sabugi;450;495;424;454;975;966;757;654;542;341;159;6217
241220 São José de Mipibu;3356;3985;4353;4390;7581;6463;5220;3626;2273;1355;588;43190
241230 São José do Campestre;868;1093;1208;1276;2320;1839;1522;1134;817;573;283;12933
241240 São José do Seridó;338;349;319;312;861;708;608;533;301;154;84;4567
241250 São Miguel;1981;2048;2258;2044;3798;3327;2612;2126;1597;1049;438;23278
241255 São Miguel do Gostoso;749;847;946;928;1963;1433;1009;654;508;260;133;9430
241260 São Paulo do Potengi;1341;1396;1532;1515;3100;2506;2030;1712;981;736;391;17240
241270 São Pedro;565;476;600;607;921;906;706;561;418;304;152;6216
241280 São Rafael;382;671;729;584;1330;1266;1108;927;617;492;242;8348
241290 São Tomé;695;860;1006;985;1933;1512;1305;1123;831;621;330;11201
241300 São Vicente;447;366;601;514;983;1004;844;713;446;312;173;6403
241310 Senador Elói de Souza;451;511;568;621;1067;771;806;565;369;238;117;6084
241320 Senador Georgino Avelino;439;446;460;463;682;689;418;360;214;109;39;4319
241030 Serra Caiada;792;1136;1080;936;1716;1415;975;779;506;333;148;9816
241330 Serra de São Bento;542;521;489;463;1097;784;667;520;379;289;132;5883
241335 Serra do Mel;994;1202;1219;1010;1894;1861;1388;921;492;369;158;11508
241340 Serra Negra do Norte;450;753;689;653;1285;1280;1174;776;530;365;173;8128
241350 Serrinha;343;555;721;715;1048;916;864;539;366;334;120;6521
241355 Serrinha dos Pintos;369;421;327;350;734;771;601;497;383;242;99;4794
241360 Severiano Melo;335;332;213;250;651;491;508;463;316;231;103;3893
241370 Sítio Novo;403;499;445;463;1037;824;570;530;317;201;145;5434
241380 Taboleiro Grande;185;257;233;201;376;433;285;271;150;87;40;2518
241390 Taipu;1131;1101;1275;1272;2178;1708;1395;958;725;414;209;12366
241400 Tangará;1289;1494;1492;1511;2749;2358;1657;1298;846;584;252;15530
241410 Tenente Ananias;937;1028;854;709;1822;1816;1194;984;664;463;172;10643
241415 Tenente Laurentino Cruz;588;667;640;405;936;998;615;387;308;151;62;5757
241105 Tibau;315;395;346;349;631;695;501;399;228;103;59;4021
241420 Tibau do Sul;1226;1318;1246;1279;2232;2499;1472;1086;525;281;151;13315
241430 Timbaúba dos Batistas;185;139;146;218;358;386;377;255;162;124;69;2419
241440 Touros;2677;3159;3663;3468;6097;4999;3816;2363;1752;1092;424;33510
241445 Triunfo Potiguar;285;359;343;277;563;520;352;293;199;117;58;3366
241450 Umarizal;636;781;1006;897;1773;1643;1428;1109;772;523;264;10832
241460 Upanema;1021;1265;1386;1146;2473;2405;1838;1231;787;471;257;14280
241470 Várzea;491;509;502;482;874;787;572;503;362;264;166;5512
241475 Venha-Ver;298;347;459;376;811;623;464;338;233;121;48;4118
241480 Vera Cruz;800;1039;1157;1256;2127;1799;1619;909;681;457;171;12015
241490 Viçosa;91;131;154;147;313;242;260;185;91;65;33;1712
241500 Vila Flor;238;217;343;362;638;442;359;237;145;90;41;3112
250010 Água Branca;736;847;1072;1011;1895;1410;1165;843;576;380;150;10085
250020 Aguiar;434;480;487;463;728;943;630;610;371;311;118;5575
250030 Alagoa Grande;2402;2531;2457;2812;4352;4352;3327;2544;1817;1396;660;28650
250040 Alagoa Nova;1583;2040;2016;1679;3468;3145;2329;1754;1237;845;403;20499
250050 Alagoinha;1199;1355;1367;1371;2464;2167;1627;1115;807;544;270;14286
250053 Alcantil;470;448;431;490;915;781;761;492;301;210;152;5451
250057 Algodão de Jandaíra;242;266;221;183;413;414;224;199;173;104;35;2474
250060 Alhandra;1872;1775;1967;1970;3208;3234;2316;1456;808;460;175;19241
250073 Amparo;245;254;179;105;373;367;230;201;137;95;27;2213
250077 Aparecida;683;779;688;451;1302;1361;982;860;586;408;163;8263
250080 Araçagi;1400;1357;1435;1577;2718;2458;2234;1521;1161;861;396;17118
250090 Arara;1040;1204;1137;1123;2064;1916;1455;1225;1034;756;404;13358
250100 Araruna;1577;1894;2125;1970;3307;3000;2305;1536;1121;855;363;20053
250110 Areia;2100;2230;1885;1917;3789;3722;2470;2176;1346;912;562;23109
250115 Areia de Baraúnas;96;193;172;152;371;278;232;182;103;70;32;1881
250120 Areial;553;694;586;513;1072;1083;824;629;457;342;148;6901
250130 Aroeiras;1542;1670;1876;1919;3048;2371;2373;1744;1265;922;472;19202
250135 Assunção;325;350;370;361;652;650;408;287;240;116;71;3830
250140 Baía da Traição;879;1036;879;814;1525;1456;921;628;395;208;82;8823
250150 Bananeiras;1358;2003;2156;1899;3337;3243;2594;1902;1282;995;463;21232
250153 Baraúna;341;469;485;315;826;739;565;439;298;190;91;4758
250160 Barra de Santa Rosa;1174;1355;1568;1145;2427;2445;1634;1404;1035;627;334;15148
250157 Barra de Santana;676;612;678;766;1336;1123;1020;811;645;363;216;8246
250170 Barra de São Miguel;460;493;474;513;1067;836;657;644;386;238;138;5906
250180 Bayeux;7765;7953;8672;8561;16654;16276;13259;8159;5076;2811;955;96141
250190 Belém;1156;1440;1580;1519;2783;2846;2068;1485;1345;931;440;17593
250200 Belém do Brejo do Cruz;379;725;652;590;1197;1154;954;708;507;326;127;7319
250205 Bernardino Batista;330;359;329;308;540;512;344;270;204;103;60;3359
250210 Boa Ventura;471;455;467;471;902;919;558;493;411;221;106;5474
250215 Boa Vista;511;658;577;520;1249;1148;780;684;368;255;134;6884
250220 Bom Jesus;190;213;251;203;402;396;320;224;163;116;53;2531
250230 Bom Sucesso;394;356;395;414;658;742;686;523;426;286;127;5007
250240 Bonito de Santa Fé;1286;1202;1078;870;2080;1910;1220;866;616;378;178;11684
250250 Boqueirão;1654;1699;1402;1463;3172;2671;2003;1535;1090;646;332;17667
250270 Borborema;237;601;608;573;745;906;550;489;315;245;98;5367
250280 Brejo do Cruz;1242;1158;1212;1079;2579;2177;1585;1320;765;524;257;13898
250290 Brejo dos Santos;429;543;594;432;1073;983;767;720;464;241;166;6412
250300 Caaporã;1897;2170;2290;2297;3597;3752;2434;1627;836;463;192;21555
250310 Cabaceiras;538;520;424;381;871;838;603;566;369;220;118;5448
250320 Cabedelo;5385;5513;5692;5176;11403;11834;8491;6629;3307;1566;638;65634
250330 Cachoeira dos Índios;673;862;907;886;1864;1596;1155;870;654;470;182;10119
250340 Cacimba de Areia;267;361;284;309;628;578;478;348;251;140;69;3713
250350 Cacimba de Dentro;1345;1603;1672;1399;2886;2401;1855;1554;1109;951;374;17149
250355 Cacimbas;843;902;886;698;1169;840;581;526;297;267;100;7109
250360 Caiçara;568;615;600;644;1207;1081;1007;623;446;341;156;7288
250370 Cajazeiras;4670;4800;5038;4889;10768;10832;7271;5502;4069;2497;1093;61429
250375 Cajazeirinhas;246;311;318;223;534;492;384;318;182;108;50;3166
250380 Caldas Brandão;400;451;512;576;1098;862;841;481;381;238;106;5946
250390 Camalaú;480;474;588;473;940;850;745;526;477;291;123;5967
250400 Campina Grande;30852;32360;34203;32957;71207;69087;50638;39435;24454;13458;6421;405072
250403 Capim;558;694;696;644;1015;1098;660;409;323;175;53;6325
250407 Caraúbas;205;425;386;327;636;602;512;406;333;183;96;4111
250410 Carrapateira;245;169;248;269;458;404;336;238;111;100;20;2598
250415 Casserengue;623;706;697;710;1253;986;878;642;446;314;138;7393
250420 Catingueira;336;508;526;349;757;836;532;476;304;204;92;4920
250430 Catolé do Rocha;2165;2715;2488;2156;4970;5374;3537;3088;1889;1189;608;30179
250435 Caturité;423;481;407;410;754;705;600;419;298;197;85;4779
250440 Conceição;1370;1686;1752;1386;3269;3127;2203;1811;1227;707;324;18862
250450 Condado;574;630;552;441;927;1012;809;781;497;349;164;6736
250460 Conde;2446;2337;2261;2255;4285;3954;2796;1855;1143;474;169;23975
250470 Congo;224;474;447;422;717;737;632;447;311;251;120;4782
250480 Coremas;1209;1262;1570;1293;2300;2443;1808;1546;1051;661;265;15408
250485 Coxixola;107;129;125;119;353;268;289;200;142;97;65;1894
250490 Cruz do Espírito Santo;1354;1637;1804;1746;2821;2915;2137;1360;802;432;203;17211
250500 Cubati;665;720;726;519;1261;1073;808;575;425;251;171;7194
250510 Cuité;1499;1536;2001;1345;3656;2845;2522;1953;1365;1085;519;20326
250523 Cuité de Mamanguape;564;485;650;597;959;886;790;622;383;287;115;6338
250520 Cuitegi;597;540;659;676;1117;1110;757;529;401;298;153;6837
250527 Curral de Cima;481;473;446;504;847;824;612;375;324;264;94;5244
250530 Curral Velho;197;221;226;236;471;398;322;200;151;71;35;2528
250535 Damião;502;407;552;460;906;789;550;456;316;201;105;5244
250540 Desterro;604;814;831;790;1280;1187;1023;693;563;334;135;8254
250560 Diamante;413;560;622;596;1197;1060;772;586;430;233;126;6595
250570 Dona Inês;898;857;1072;1007;1669;1528;1107;828;737;478;276;10457
250580 Duas Estradas;248;312;339;363;562;503;448;309;235;195;99;3613
250590 Emas;283;310;421;279;542;623;414;242;196;127;47;3484
250600 Esperança;2850;2898;3239;2616;5097;5408;3918;2797;1934;1331;697;32785
250610 Fagundes;1085;1078;936;1042;1796;1533;1389;940;828;504;247;11378
250620 Frei Martinho;224;207;254;165;433;477;325;337;277;174;111;2984
250625 Gado Bravo;809;703;715;855;1427;1118;1011;706;593;325;186;8448
250630 Guarabira;4670;4678;4893;4831;9966;10059;7513;5185;3105;2296;967;58163
250640 Gurinhém;1111;1216;1291;1384;2193;2260;1805;1221;778;573;284;14116
250650 Gurjão;248;244;306;217;628;490;447;346;246;128;75;3375
250660 Ibiara;449;442;501;505;920;896;716;673;429;321;125;5977
250260 Igaracy;432;512;642;543;985;830;767;646;429;291;119;6196
250670 Imaculada;968;1209;1563;1096;1940;1713;1304;880;558;370;147;11748
250680 Ingá;1377;1575;1658;1767;2672;2800;2150;1605;1212;799;429;18044
250690 Itabaiana;1760;1917;2095;1912;4050;3942;3313;2428;1526;1112;512;24567
250700 Itaporanga;2050;2293;2261;2066;4115;4299;2897;1925;1353;900;337;24496
250710 Itapororoca;1708;1648;1644;1549;3092;3033;2088;1470;1075;718;308;18333
250720 Itatuba;950;1044;912;947;1931;1551;1215;898;704;393;193;10738
250730 Jacaraú;1274;1281;1238;1339;2326;2007;1682;1256;937;688;288;14316
250740 Jericó;497;666;646;698;1201;1224;891;812;563;361;158;7717
250750 João Pessoa;57776;61125;62411;59947;140341;143226;103975;81921;48358;22694;9662;791436
251365 Joca Claudino;168;237;236;193;426;461;294;285;206;126;51;2683
250760 Juarez Távora;621;723;758;728;1277;1188;918;712;366;396;163;7850
250770 Juazeirinho;1599;1961;1934;1436;3137;2837;1876;1316;938;587;279;17900
250780 Junco do Seridó;671;666;635;583;1159;1158;763;627;428;238;127;7055
250790 Juripiranga;956;1069;899;966;1803;1809;1151;759;608;448;199;10667
250800 Juru;737;804;898;851;1775;1470;1223;871;739;382;139;9889
250810 Lagoa;246;414;413;351;728;775;580;442;382;251;104;4686
250820 Lagoa de Dentro;790;638;584;689;1243;983;948;698;455;413;177;7618
250830 Lagoa Seca;2241;2538;2542;2309;4581;4337;3319;2345;1621;954;458;27245
250840 Lastro;224;246;248;170;426;465;305;286;239;106;52;2767
250850 Livramento;637;662;806;556;1176;1124;799;556;561;317;160;7354
250855 Logradouro;442;357;327;337;813;663;469;351;218;185;93;4255
250860 Lucena;1015;1356;1381;1149;2073;2182;1482;1040;692;320;113;12803
250870 Mãe d'Água;282;375;399;252;611;678;508;401;267;157;92;4022
250880 Malta;354;517;593;415;902;850;631;560;397;304;147;5670
250890 Mamanguape;4188;4029;4152;4212;7605;6972;5420;3608;2288;1320;577;44371
250900 Manaíra;1035;1154;1072;821;2139;1587;1207;783;711;392;165;11066
250905 Marcação;917;978;805;748;1622;1212;893;524;364;219;80;8362
250910 Mari;1779;1825;2004;1794;3373;3516;2659;1847;1467;1020;472;21756
250915 Marizópolis;578;645;586;440;965;1109;766;597;447;272;116;6521
250920 Massaranduba;807;1281;1270;1307;2311;2089;1738;1156;807;582;312;13660
250930 Mataraca;974;777;870;806;1504;1248;856;572;374;159;82;8222
250933 Matinhas;488;368;399;452;735;610;512;401;258;195;82;4500
250937 Mato Grosso;261;246;217;252;488;456;298;312;174;100;68;2872
250939 Maturéia;487;625;693;575;1178;969;764;480;349;228;92;6440
250940 Mogeiro;962;1177;1299;1257;2269;2050;1538;1159;805;524;274;13314
250950 Montadas;427;537;565;431;886;880;668;409;392;241;97;5533
250960 Monte Horebe;364;455;451;394;874;760;539;350;310;176;89;4762
250970 Monteiro;2511;2587;2915;2744;5149;5131;4242;3124;2152;1512;709;32776
250980 Mulungu;650;922;936;773;1566;1686;1216;850;596;453;195;9843
250990 Natuba;886;966;988;1015;1750;1590;1076;824;680;455;219;10449
251000 Nazarezinho;477;675;668;622;992;1253;888;681;570;318;175;7319
251010 Nova Floresta;811;869;1009;926;1859;1495;1314;870;671;565;257;10646
251020 Nova Olinda;465;534;583;562;1019;942;671;556;369;210;91;6002
251030 Nova Palmeira;324;361;486;360;729;844;600;418;351;203;105;4781
251040 Olho d'Água;407;578;699;540;1133;1025;815;689;434;220;107;6647
251050 Olivedos;244;309;346;336;624;636;506;342;240;214;81;3878
251060 Ouro Velho;202;256;243;205;476;443;389;367;215;161;66;3023
251065 Parari;143;167;141;138;259;260;218;183;142;90;51;1792
251070 Passagem;228;239;205;166;378;400;235;240;151;88;54;2384
251080 Patos;8281;9061;9764;8385;18025;18987;13015;9438;6143;3484;1730;106313
251090 Paulista;889;997;941;969;2033;2015;1488;1222;925;514;222;12215
251100 Pedra Branca;215;356;386;342;604;631;448;356;246;148;67;3799
251110 Pedra Lavrada;569;726;787;532;1405;1261;860;777;564;329;172;7982
251120 Pedras de Fogo;2471;2285;2688;2677;4813;4971;3326;2142;1520;965;429;28287
251272 Pedro Régis;565;538;607;543;931;872;731;438;396;306;109;6036
251130 Piancó;1129;1347;1265;1319;2499;2684;2048;1595;1134;678;283;15981
251140 Picuí;1157;1521;1992;1579;3135;2763;2352;1688;1229;794;460;18670
